,acousticness,danceability,duration_ms,energy,if_liked,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Shame Of Device,0.000336,0.652,254000,0.638,1,0.945,7,0.0839,-6.09,1,0.0277,139.999,4,0.551
Annie,0.0037,0.603,163200,0.504,0,0.0383,6,0.104,-7.665,1,0.0289,121.924,4,0.466
The Crown and the Ring (Lament of the Kings),0.492,0.228,286867,0.13,0,0.0,4,0.184,-14.719,0,0.0326,94.791,3,0.148
I'm On Fire,0.589,0.62,155880,0.446,0,0.0299,1,0.0727,-14.451,0,0.0347,88.591,4,0.868
March of the Forest Cat,0.429,0.864,313548,0.582,1,0.901,8,0.0998,-10.279,1,0.199,124.022,4,0.341
Dream,0.161,0.839,279429,0.644,1,0.762,2,0.086,-5.159,0,0.0429,104.98,4,0.102
Pump Up The Jam,0.0147,0.885,320307,0.844,0,4.49e-06,10,0.0494,-9.225,0,0.0733,124.602,4,0.715
Next Girl,0.143,0.583,164678,0.867,0,0.0,11,0.0863,-4.17,1,0.0637,160.096,4,0.962
Morenita,0.0485,0.595,199048,0.977,1,0.109,6,0.385,-4.045,0,0.11,125.94,4,0.361
Kaleidoscope,0.499,0.61,214787,0.808,1,1.17e-05,5,0.0897,-4.018,0,0.0381,122.943,4,0.419
The End of All We Know,0.000505,0.311,251512,0.959,0,0.00012,6,0.328,-5.104,0,0.107,149.406,3,0.336
It's Dark,0.423,0.649,235363,0.543,1,0.0,6,0.174,-9.558,0,0.0721,116.49,4,0.2
Fall Apart,0.0541,0.574,163333,0.911,1,3.34e-06,11,0.758,-2.832,1,0.075,126.019,4,0.648
Ona To Ma - Radio Edit,0.14,0.761,175106,0.898,0,0.0,0,0.0655,-3.605,1,0.0957,147.866,4,0.893
Hémisphère,0.342,0.746,433389,0.432,1,0.841,6,0.076,-13.362,0,0.0475,128.014,4,0.577
"Sonata for Violin Solo No. 1 in G Minor, BWV 1001: I. Adagio",0.972,0.258,268081,0.0104,0,0.000789,7,0.0794,-30.527,0,0.0489,101.749,5,0.143
R.I.P. (feat. Rita Ora & Anitta),0.18,0.764,187200,0.752,1,0.0,8,0.0701,-3.713,0,0.0711,100.066,4,0.698
Any Way The Wind Blows,0.000645,0.607,181218,0.802,0,0.000206,7,0.242,-7.345,1,0.0488,85.98,4,0.636
Love Is,0.0315,0.76,280480,0.776,0,0.000124,5,0.102,-5.094,0,0.0645,99.006,4,0.935
Odporność,0.183,0.54,324458,0.825,1,1.02e-05,9,0.125,-6.813,0,0.0876,170.385,4,0.0759
Take Me (ft. Colton Avery),0.18,0.559,208828,0.788,1,0.0,0,0.157,-3.941,0,0.0348,126.978,4,0.368
Język ciała,0.76,0.72,201107,0.722,1,0.0,1,0.0706,-6.621,0,0.173,127.972,4,0.687
Nie słucham,0.314,0.704,188727,0.472,1,0.0033,9,0.42,-10.446,1,0.167,110.031,4,0.157
Nobody,0.0938,0.669,177143,0.931,1,0.764,1,0.0526,-3.385,0,0.0388,126.06,4,0.25
Deep,0.00039,0.486,293827,0.677,0,0.0477,2,0.145,-8.702,1,0.0306,136.033,4,0.192
Michael Essien Birthday Party,0.365,0.729,257293,0.787,1,2.11e-05,7,0.236,-7.077,0,0.157,106.018,4,0.386
Promises,0.00236,0.371,268707,0.696,0,3.12e-06,7,0.0857,-5.516,0,0.0294,75.723,4,0.209
Ain't No Love In The Heart Of The City - Single Version,0.257,0.559,225347,0.656,0,0.000171,9,0.2,-8.699,0,0.0469,79.638,4,0.679
LEMONIADA,0.376,0.881,203133,0.575,1,0.000355,7,0.109,-5.72,0,0.0566,109.984,4,0.792
Secret Stash,0.0473,0.686,226604,0.851,1,0.0195,0,0.109,-2.723,1,0.0476,123.055,4,0.385
Round The Bend,0.00118,0.448,194813,0.809,0,1.16e-06,9,0.373,-5.889,1,0.0663,155.824,3,0.512
The Daze,0.0133,0.717,164000,0.854,1,0.0108,2,0.248,-3.994,0,0.057,119.985,4,0.466
LOST,0.522,0.571,281600,0.29,1,0.22,6,0.145,-11.601,0,0.064,149.023,4,0.217
Synopia,0.0566,0.51,308571,0.712,0,0.891,6,0.108,-7.567,1,0.0343,125.96,4,0.267
