,acousticness,analysis_url,danceability,duration_ms,energy,id,if_liked,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
012,0.386,https://api.spotify.com/v1/audio-analysis/5neUIFXjZLGRfjJT8YL355,0.734,136338,0.5,5neUIFXjZLGRfjJT8YL355,1,0.0422,3,0.17,-13.94,0,0.262,120.016,4,https://api.spotify.com/v1/tracks/5neUIFXjZLGRfjJT8YL355,audio_features,spotify:track:5neUIFXjZLGRfjJT8YL355,0.382
1001,0.00219,https://api.spotify.com/v1/audio-analysis/3sPgeZG4TPDR74wVDC6Guk,0.805,441383,0.809,3sPgeZG4TPDR74wVDC6Guk,1,0.867,7,0.0719,-10.342,0,0.0579,123.007,4,https://api.spotify.com/v1/tracks/3sPgeZG4TPDR74wVDC6Guk,audio_features,spotify:track:3sPgeZG4TPDR74wVDC6Guk,0.199
1990s Utopia,0.525,https://api.spotify.com/v1/audio-analysis/2g0jE8oC141QYXvdOrOdm0,0.638,240507,0.577,2g0jE8oC141QYXvdOrOdm0,1,1.71e-05,11,0.176,-9.148,0,0.151,140.04,4,https://api.spotify.com/v1/tracks/2g0jE8oC141QYXvdOrOdm0,audio_features,spotify:track:2g0jE8oC141QYXvdOrOdm0,0.337
1996,0.0053,https://api.spotify.com/v1/audio-analysis/2y0YPDnA9WUESQ55PjsNJI,0.603,218173,0.7,2y0YPDnA9WUESQ55PjsNJI,1,0.00291,2,0.427,-8.426,1,0.0305,120.995,4,https://api.spotify.com/v1/tracks/2y0YPDnA9WUESQ55PjsNJI,audio_features,spotify:track:2y0YPDnA9WUESQ55PjsNJI,0.6
311 Trillion Years,0.0216,https://api.spotify.com/v1/audio-analysis/5Rt33xxWWl2eQRTPWfAxs2,0.641,530323,0.866,5Rt33xxWWl2eQRTPWfAxs2,1,0.798,7,0.0926,-10.413,0,0.0367,124.019,4,https://api.spotify.com/v1/tracks/5Rt33xxWWl2eQRTPWfAxs2,audio_features,spotify:track:5Rt33xxWWl2eQRTPWfAxs2,0.218
7700M - Original Mix,0.0642,https://api.spotify.com/v1/audio-analysis/3RLYmGWrMfu9hal0QyXpe1,0.797,412199,0.526,3RLYmGWrMfu9hal0QyXpe1,1,0.754,8,0.0627,-9.392,1,0.0546,124.029,4,https://api.spotify.com/v1/tracks/3RLYmGWrMfu9hal0QyXpe1,audio_features,spotify:track:3RLYmGWrMfu9hal0QyXpe1,0.344
9 Crimes,0.913,https://api.spotify.com/v1/audio-analysis/08YEGpKt2LHJ0URCXKHEie,0.329,219227,0.167,08YEGpKt2LHJ0URCXKHEie,1,9.56e-05,0,0.0921,-13.103,1,0.0296,74.174,4,https://api.spotify.com/v1/tracks/08YEGpKt2LHJ0URCXKHEie,audio_features,spotify:track:08YEGpKt2LHJ0URCXKHEie,0.0995
@ (trailer),0.29,https://api.spotify.com/v1/audio-analysis/4fsZcOEWUxFyDe1ENTbvLM,0.822,255202,0.727,4fsZcOEWUxFyDe1ENTbvLM,1,0.0,3,0.272,-6.899,0,0.184,127.941,4,https://api.spotify.com/v1/tracks/4fsZcOEWUxFyDe1ENTbvLM,audio_features,spotify:track:4fsZcOEWUxFyDe1ENTbvLM,0.822
A Baru In New York - Flume Soundtrack Version,0.476,https://api.spotify.com/v1/audio-analysis/2oAeHCB85z6AwS45UBcYVI,0.213,337500,0.722,2oAeHCB85z6AwS45UBcYVI,1,0.815,4,0.344,-7.4,0,0.079,117.875,4,https://api.spotify.com/v1/tracks/2oAeHCB85z6AwS45UBcYVI,audio_features,spotify:track:2oAeHCB85z6AwS45UBcYVI,0.0889
"A Coroa De Ouro - Joe Manina, Antonio Manero Spaziani Radio Edit",0.000755,https://api.spotify.com/v1/audio-analysis/0qwYyqEdvkOu7l2MNJZMkT,0.701,178320,0.896,0qwYyqEdvkOu7l2MNJZMkT,1,0.782,9,0.284,-6.576,0,0.0464,125.067,4,https://api.spotify.com/v1/tracks/0qwYyqEdvkOu7l2MNJZMkT,audio_features,spotify:track:0qwYyqEdvkOu7l2MNJZMkT,0.629
